Ministry,Plan Revenue,Plan Capital,Plan Total,Non Plan Revenue,Non Plan Capital,Non Plan Total,Total,year,Revenue,Capital
MINISTRY OF FOOD PROCESSING INDUSTRIES,300.00,40.00,340.00,10.50,...,10.50,350.50,2009-10,,
MINISTRY OF HEALTH AND FAMILY WELFARE,17917.38,1616.62,19534.00,3107.33,...,3107.33,22641.33,2009-10,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,223.56,136.44,360.00,69.20,400.00,469.20,829.20,2009-10,,
MINISTRY OF HOME AFFAIRS,3366.94,532.93,3899.87,29542.19,7337.59,36879.78,40779.65,2009-10,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,850.00,...,850.00,7.97,...,7.97,857.97,2009-10,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,35646.00,750.00,36396.00,8132.21,...,8132.21,44528.21,2009-10,,
MINISTRY OF INFORMATION AND BROADCASTING,351.99,448.01,800.00,1768.00,...,1768.00,2568.00,2009-10,,
MINISTRY OF LABOUR AND EMPLOYMENT,873.28,7.47,880.75,1560.81,1.41,1562.22,2442.97,2009-10,,
MINISTRY OF LAW AND JUSTICE,260.00,...,260.00,1486.13,40.89,1527.02,1787.02,2009-10,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",1785.00,9.00,1794.00,238.02,1.43,239.45,2033.45,2009-10,,
MINISTRY OF MINES,153.60,38.40,192.00,398.00,...,398.00,590.00,2009-10,,
MINISTRY OF MINORITY AFFAIRS,1615.00,125.00,1740.00,16.50,...,16.50,1756.50,2009-10,,
MINISTRY OF NEW AND RENEWABLE ENERGY,597.20,19.80,617.00,11.00,...,11.00,628.00,2009-10,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,...,...,...,59.00,21.00,80.00,80.00,2009-10,,
MINISTRY OF PANCHAYATI RAJ,4780.00,...,4780.00,0.71,...,0.71,4780.71,2009-10,,
MINISTRY OF PARLIAMENTARY AFFAIRS,...,...,...,8.33,...,8.33,8.33,2009-10,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",91.16,146.84,238.00,428.49,9.01,437.50,675.50,2009-10,,
MINISTRY OF PETROLEUM AND NATURAL GAS,25.00,...,25.00,3144.00,...,3144.00,3169.00,2009-10,,
MINISTRY OF PLANNING,407.79,44.21,452.00,67.00,...,67.00,519.00,2009-10,,
MINISTRY OF POWER,7341.00,1889.00,9230.00,-28.00,...,-28.00,9202.00,2009-10,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",...,...,...,686.06,...,686.06,686.06,2009-10,,
MINISTRY OF RURAL DEVELOPMENT,74268.75,1.25,74270.00,45.43,...,45.43,74315.43,2009-10,,
MINISTRY OF SCIENCE AND TECHNOLOGY,4047.80,77.20,4125.00,1720.60,2.40,1723.00,5848.00,2009-10,,
MINISTRY OF SHIPPING,115.40,479.60,595.00,1187.03,-26.50,1160.53,1755.53,2009-10,,
MINISTRY OF  ROAD TRANSPORT AND HIGHWAYS,11250.51,6269.55,17520.06,3345.49,769.51,4115.00,21635.06,2009-10,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,2361.00,139.00,2500.00,85.00,...,85.00,2585.00,2009-10,,
DEPARTMENT OF SPACE,2048.88,2051.12,4100.00,859.00,...,859.00,4959.00,2009-10,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1798.45,10.55,1809.00,306.27,...,306.27,2115.27,2009-10,,
MINISTRY OF STEEL,26.00,8.00,34.00,81.36,...,81.36,115.36,2009-10,,
MINISTRY OF TEXTILES,4481.50,18.50,4500.00,732.50,165.50,898.00,5398.00,2009-10,,
MINISTRY OF TOURISM,994.00,6.00,1000.00,70.00,...,70.00,1070.00,2009-10,,
MINISTRY OF TRIBAL AFFAIRS,3155.50,50.00,3205.50,14.61,...,14.61,3220.11,2009-10,,
UNION TERRITORIES (WITHOUT LEGISLATURE),964.59,1496.32,2460.91,3161.61,-9.64,3151.97,5612.88 232-235,2009-10,,
MINISTRY OF URBAN DEVELOPMENT,506.60,2592.65,3099.25,1707.88,438.65,2146.53,5245.78,2009-10,,
MINISTRY OF WATER RESOURCES,516.00,84.00,600.00,400.69,2.31,403.00,1003.00,2009-10,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,7350.00,...,7350.00,78.00,...,78.00,7428.00,2009-10,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2469.75,229.25,2699.00,109.55,264.45,374.00,3073.00,2009-10,,
RAILWAYS **,...,14600.00,14600.00,...,...,,... 14600.00,2009-10,,
GRAND TOTAL,278398.35,46750.65,325149.00,618833.60,76855.08,695688.68,1020837.68,2009-10,,
MINISTRY OF AGRICULTURE,18547.25,94.75,18642.00,2222.12,0.60,2222.72,20864.72,2010-11,,
DEPARTMENT OF ATOMIC ENERGY,1399.00,3601.00,5000.00,2798.65,722.35,3521.00,8521.00,2010-11,,
MINISTRY OF CHEMICALS AND FERTILISERS,504.93,275.07,780.00,50051.79,1.21,50053.00,50833.00,2010-11,,
MINISTRY OF CIVIL AVIATION,571.30,1428.70,2000.00,885.00,...,885.00,2885.00,2010-11,,
MINISTRY OF COAL,400.00,...,400.00,47.70,...,47.70,447.70,2010-11,,
MINISTRY OF COMMERCE AND INDUSTRY,2037.01,692.99,2730.00,2458.92,...,2458.92,5188.92,2010-11,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,3154.50,2165.50,5320.00,8854.01,10.00,8864.01,14184.01,2010-11,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",251.80,68.20,320.00,56287.05,1.20,56288.25,56608.25,2010-11,,
MINISTRY OF CORPORATE AFFAIRS,6.00,34.00,40.00,197.01,12.00,209.01,249.01,2010-11,,
MINISTRY OF CULTURE,692.00,43.00,735.00,503.00,...,503.00,1238.00,2010-11,,
MINISTRY OF DEFENCE,...,...,...,114590.13,61181.72,175771.85,175771.85,2010-11,,
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,1603.00,137.00,1740.00,15.33,4.00,19.33,1759.33,2010-11,,
MINISTRY OF EARTH SCIENCES,718.21,281.79,1000.00,299.50,2.50,302.00,1302.00,2010-11,,
MINISTRY OF ENVIRONMENT AND FORESTS,2169.07,30.93,2200.00,136.67,14.49,151.16,2351.16,2010-11,,
MINISTRY OF EXTERNAL AFFAIRS,321.60,378.40,700.00,5300.00,375.00,5675.00,6375.00,2010-11,,
MINISTRY OF FINANCE,64922.84,7650.90,72573.74,339367.91,19406.35,358774.26,431348.00,2010-11,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,297.49,102.51,400.00,9.72,...,9.72,409.72,2010-11,,
MINISTRY OF HEALTH AND FAMILY WELFARE,21076.49,1223.51,22300.00,2854.00,...,2854.00,25154.00,2010-11,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,273.80,106.70,380.50,116.93,400.00,516.93,897.43,2010-11,,
MINISTRY OF HOME AFFAIRS,2842.52,559.58,3402.10,27075.65,6658.32,33733.97,37136.07,2010-11,,
MINISTRY OF HOUSING AND URBAN POVERTY ALLEVIATION,1000.00,...,1000.00,7.03,...,7.03,1007.03,2010-11,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,42032.00,...,42032.00,7872.00,...,7872.00,49904.00,2010-11,,
MINISTRY OF INFORMATION AND BROADCASTING,515.46,334.54,850.00,1754.18,...,1754.18,2604.18,2010-11,,
MINISTRY OF LABOUR AND EMPLOYMENT,956.83,8.33,965.16,1881.76,1.41,1883.17,2848.33,2010-11,,
MINISTRY OF LAW AND JUSTICE,280.00,...,280.00,496.63,15.02,511.65,791.65,2010-11,,
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",2389.00,11.00,2400.00,247.40,1.30,248.70,2648.70,2010-11,,
MINISTRY OF MINES,160.21,39.79,200.00,366.14,...,366.14,566.14,2010-11,,
MINISTRY OF MINORITY AFFAIRS,2485.00,115.00,2600.00,15.37,...,15.37,2615.37,2010-11,,
MINISTRY OF NEW AND RENEWABLE ENERGY,944.70,53.30,998.00,10.50,...,10.50,1008.50,2010-11,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,...,...,...,71.80,9.20,81.00,81.00,2010-11,,
MINISTRY OF PANCHAYATI RAJ,5170.00,...,5170.00,0.71,...,0.71,5170.71,2010-11,,
MINISTRY OF PARLIAMENTARY AFFAIRS,...,...,...,7.47,...,7.47,7.47,2010-11,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",128.50,121.50,250.00,447.35,9.01,456.36,706.36,2010-11,,
MINISTRY OF PETROLEUM AND NATURAL GAS,37.00,...,37.00,3142.00,...,3142.00,3179.00,2010-11,,
MINISTRY OF PLANNING,1806.89,193.11,2000.00,59.32,...,59.32,2059.32,2010-11,,
MINISTRY OF POWER,6201.16,4428.84,10630.00,-155.13,...,-155.13,10474.87,2010-11,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",...,...,...,670.17,...,670.17,670.17,2010-11,,
MINISTRY OF  ROAD TRANSPORT AND HIGHWAYS,12008.65,7885.10,19893.75,1977.22,2207.68,4184.90,24078.65,2010-11,,
MINISTRY OF RURAL DEVELOPMENT,79332.18,7.82,79340.00,47.44,...,47.44,79387.44,2010-11,,
MINISTRY OF SCIENCE AND TECHNOLOGY,4784.00,41.00,4825.00,1751.60,2.40,1754.00,6579.00,2010-11,,
MINISTRY OF SHIPPING,137.22,485.78,623.00,1357.19,-44.30,1312.89,1935.89,2010-11,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,4300.00,200.00,4500.00,74.00,...,74.00,4574.00,2010-11,,
DEPARTMENT OF SPACE,2322.76,2677.24,5000.00,778.00,...,778.00,5778.00,2010-11,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1838.31,9.69,1848.00,300.35,...,300.35,2148.35,2010-11,,
MINISTRY OF STEEL,35.00,1.00,36.00,71.62,...,71.62,107.62,2010-11,,
MINISTRY OF TEXTILES,4696.37,28.63,4725.00,782.57,100.51,883.08,5608.08,2010-11,,
MINISTRY OF TOURISM,1039.00,11.00,1050.00,69.41,...,69.41,1119.41,2010-11,,
MINISTRY OF TRIBAL AFFAIRS,3136.50,70.00,3206.50,13.87,...,13.87,3220.37,2010-11,,
UNION TERRITORIES (WITHOUT LEGISLATURE),1085.07,1007.33,2092.40,3190.17,-41.98,3148.19,5240.59 237-240,2010-11,,
MINISTRY OF URBAN DEVELOPMENT,672.78,4785.06,5457.84,1639.66,391.87,2031.53,7489.37,2010-11,,
MINISTRY OF WATER RESOURCES,592.50,107.50,700.00,403.20,1.80,405.00,1105.00,2010-11,,
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,11000.00,...,11000.00,70.50,...,70.50,11070.50,2010-11,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2249.00,595.00,2844.00,106.43,614.57,721.00,3565.00,2010-11,,
RAILWAYS **,...,15875.00,15875.00,...,...,,... 15875.00,2010-11,,
GRAND TOTAL,315124.90,57967.09,373091.99,643599.02,92058.23,735657.25,1108749.24,2010-11,,
MINISTRY OF AGRICULTURE,2945.68,316.32,3262.00,958.14,0.64,958.78,4220.78,2002-03,,
MINISTRY OF AGRO AND RURAL INDUSTRIES,578.50,1.50,580.00,87.03,0.60,87.63,667.63,2002-03,,
MINISTRY OF CHEMICALS AND FERTILISERS,50.61,284.39,335.00,11257.35,312.90,11570.25,11905.25,2002-03,,
MINISTRY OF CIVIL AVIATION,4.29,64.71,69.00,230.03,...,230.03,299.03,2002-03,,
MINISTRY OF COAL AND MINES,510.19,44.31,554.50,515.84,...,515.84,1070.34,2002-03,,
MINISTRY OF COMMERCE AND INDUSTRY,672.00,383.00,1055.00,1021.74,...,1021.74,2076.74,2002-03,,
MINISTRY OF COMMUNICATIONS AND INFORMATION TECHNOLOGY,627.80,175.20,803.00,1225.25,-11.49,1213.76,2016.76,2002-03,,
MINISTRY OF DEFENCE,...,...,...,54863.76,21747.40,76611.16,76611.16,2002-03,,
MINISTRY OF DISINVESTMENT,...,...,...,26.79,...,26.79,26.79,2002-03,,
DEPARTMENT OF DEVELOPMENT OF NORTH EASTERN REGION,366.73,103.17,469.90,7.11,1.50,8.61,478.51,2002-03,,
MINISTRY OF ENVIRONMENT AND FORESTS,967.21,22.79,990.00,121.05,...,121.05,1111.05,2002-03,,
MINISTRY OF EXTERNAL AFFAIRS,365.60,234.40,600.00,2454.54,183.80,2638.34,3238.34,2002-03,,
MINISTRY OF FINANCE,17870.91,24191.00,42061.91,143947.76,1373.90,145321.66,187383.57,2002-03,,
"MINISTRY OF CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",14.40,39.98,54.38,21458.30,8.50,21466.80,21521.18,2002-03,,
MINISTRY OF FOOD PROCESSING INDUSTRIES,75.00,...,75.00,6.01,...,6.01,81.01,2002-03,,
MINISTRY OF HEALTH AND FAMILY WELFARE,6566.00,7.51,6573.51,1008.32,...,1008.32,7581.83,2002-03,,
MINISTRY OF HOME AFFAIRS,268.10,519.90,788.00,10991.37,1257.20,12248.57,13036.57,2002-03,,
MINISTRY OF HUMAN RESOURCE DEVELOPMENT,9224.24,0.01,9224.25,2821.10,...,2821.10,12045.35,2002-03,,
MINISTRY OF HEAVY INDUSTRIES AND PUBLIC ENTERPRISES,39.20,70.80,110.00,114.04,400.00,514.04,624.04,2002-03,,
MINISTRY OF INFORMATION AND BROADCASTING,115.98,299.02,415.00,1118.50,...,1118.50,1533.50,2002-03,,
MINISTRY OF LABOUR,134.36,14.23,148.59,733.03,...,733.03,881.62,2002-03,,
"MINISTRY OF LAW, JUSTICE AND COMPANY AFFAIRS",130.00,...,130.00,436.13,4.55,440.68,570.68,2002-03,,
MINISTRY OF NON-CONVENTIONAL ENERGY SOURCES,494.20,130.05,624.25,5.27,...,5.27,629.52,2002-03,,
MINISTRY OF PARLIAMENTARY AFFAIRS,...,...,...,4.21,...,4.21,4.21,2002-03,,
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",35.00,...,35.00,170.59,8.10,178.69,213.69,2002-03,,
MINISTRY OF PETROLEUM AND NATURAL GAS,...,...,...,6509.43,...,6509.43,6509.43,2002-03,,
MINISTRY OF PLANNING,15.71,7.50,23.21,30.43,...,30.43,53.64,2002-03,,
MINISTRY OF POWER,727.89,2572.11,3300.00,53.60,...,53.60,3353.60,2002-03,,
MINISTRY OF RURAL DEVELOPMENT,13620.00,50.00,13670.00,24.55,...,24.55,13694.55,2002-03,,
MINISTRY OF SCIENCE AND TECHNOLOGY,1224.00,56.00,1280.00,1009.01,1.75,1010.76,2290.76,2002-03,,
MINISTRY OF SMALL SCALE INDUSTRIES,345.60,...,345.60,51.51,...,51.51,397.11,2002-03,,
MINISTRY OF STATISTICS AND PROGRAMME IMPLEMENTATION,1679.16,28.84,1708.00,149.17,...,149.17,1857.17,2002-03,,
MINISTRY OF STEEL,...,12.00,12.00,68.19,2.00,70.19,82.19,2002-03,,
MINISTRY OF ROAD  TRANSPORT AND HIGHWAYS,3126.20,3753.80,6880.00,1567.42,236.72,1804.14,8684.14,2002-03,,
MINISTRY OF SHIPPING,110.48,307.91,418.39,224.10,13.50,237.60,655.99,2002-03,,
MINISTRY OF TEXTILES,699.37,15.63,715.00,285.95,584.55,870.50,1585.50,2002-03,,
MINISTRY OF TOURISM AND CULTURE,317.50,112.50,430.00,313.66,...,313.66,743.66,2002-03,,
MINISTRY OF TRIBAL AFFAIRS,1057.99,32.01,1090.00,6.38,...,6.38,1096.38,2002-03,,
MINISTRY OF URBAN DEVELOPMENT AND POVERTY ALLEVIATION,852.65,826.86,1679.51,871.11,226.54,1097.65,2777.16,2002-03,,
MINISTRY OF WATER RESOURCES,511.30,38.70,550.00,210.75,16.00,226.75,776.75,2002-03,,
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,1298.90,111.10,1410.00,56.63,2.25,58.88,1468.88,2002-03,,
MINISTRY OF YOUTH AFFAIRS AND SPORTS,276.77,8.23,285.00,54.36,0.03,54.39,339.39,2002-03,,
DEPARTMENT OF ATOMIC ENERGY,240.04,2259.96,2500.00,1043.62,325.33,1368.95,3868.95,2002-03,,
DEPARTMENT OF OCEAN DEVELOPMENT,174.00,1.00,175.00,24.28,...,24.28,199.28,2002-03,,
DEPARTMENT OF SPACE,1637.75,312.25,1950.00,313.87,...,313.87,2263.87,2002-03,,
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION AND THE SECRETARIAT OF THE VICE-PRESIDENT",...,...,...,311.88,...,311.88,311.88,2002-03,,
UNION TERRITORIES (WITHOUT LEGISLATURE),341.88,388.12,730.00,1406.44,-56.4,1350.04,2080.04,2002-03,,
RAILWAYS **,,5390,5390,...,,,5390,2002-03,,
Grand Total,70313.19,43186.81,113500.0,270169.6,26639.87,296809.47,410309.47,2002-03,,
MINISTRY OF AGRICULTURE,6702.66,264.34,6967.00,1231.49,0.53,1232.02,8199.02,2006-07,,
INDUSTRIES,966.50,0.50,967.00,86.32,1.31,87.63,1054.63,2006-07,,
DEPARTMENT OF ATOMIC ENERGY,323.08,3801.04,4124.12,896.29,484.67,1380.96,5505.08,2006-07,,
FERTILISERS,76.80,153.01,229.81,17297.17,28.23,17325.40,17555.21,2006-07,,
MINISTRY OF CIVIL AVIATION,54.09,75.91,130.00,318.60,...,318.60,448.60,2006-07,,
MINISTRY OF COAL,168.71,...,168.71,37.00,...,37.00,205.71,2006-07,,
MINISTRY OF COMMERCE AND INDUSTRY,1267.29,656.00,1923.29,1158.32,...,1158.32,3081.61,2006-07,,
INFORMATION TECHNOLOGY,1138.65,583.96,1722.61,4331.04,4.01,4335.05,6057.66,2006-07,,
MINISTRY OF COMPANY AFFAIRS,...,...,...,135.00,10.00,145.00,145.00,2006-07,,
AND PUBLIC DISTRIBUTION,204.83,53.97,258.80,24528.40,6.60,24535.00,24793.80,2006-07,,
MINISTRY OF CULTURE,422.00,48.00,470.00,350.00,...,350.00,820.00,2006-07,,
MINISTRY OF DEFENCE,...,...,...,65983.67,38140.17,104123.84,104123.84,2006-07,,
NORTH EASTERN REGION,1244.51,105.49,1350.00,9.23,3.56,12.79,1362.79,2006-07,,
AND FORESTS,1327.92,11.01,1338.93,167.71,13.50,181.21,1520.14,2006-07,,
MINISTRY OF EXTERNAL AFFAIRS,151.90,70.40,222.30,3312.74,160.01,3472.75,3695.05,2006-07,,
MINISTRY OF FINANCE,26313.77,4500.00,30813.77,187660.45,4285.37,191945.82,222759.59,2006-07,,
INDUSTRIES,166.90,...,166.90,6.80,...,6.80,173.70,2006-07,,
FAMILY WELFARE,11593.54,77.68,11671.22,1322.55,...,1322.55,12993.77,2006-07,,
PUBLIC ENTERPRISES,300.62,180.88,481.50,59.66,400.00,459.66,941.16,2006-07,,
MINISTRY OF HOME AFFAIRS,831.97,290.25,1122.22,16208.58,1882.98,18091.56,19213.78,2006-07,,
DEVELOPMENT,25539.84,0.01,25539.85,3428.08,...,3428.08,28967.93,2006-07,,
BROADCASTING,380.53,157.47,538.00,1178.00,...,1178.00,1716.00,2006-07,,
MINISTRY OF LABOUR AND EMPLOYMENT,311.36,...,311.36,1170.00,...,1170.00,1481.36,2006-07,,
MINISTRY OF LAW AND JUSTICE,203.95,...,203.95,724.74,0.03,724.77,928.72,2006-07,,
MINISTRY OF MINES,134.05,106.95,241.00,229.02,25.00,254.02,495.02,2006-07,,
ENERGY SOURCES,531.75,65.25,597.00,6.64,...,6.64,603.64,2006-07,,
MINISTRY OF OVERSEAS INDIAN AFFAIRS,...,...,...,35.50,2.50,38.00,38.00,2006-07,,
